
05:51:49 PM       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
05:58:29 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:30 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:31 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:32 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:33 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:34 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:35 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:36 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:37 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:38 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:39 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:40 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:41 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:42 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:43 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:44 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:45 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:58:46 PM      4773      0.00      0.00  141852   4104   0.20  wget
